disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_194,r_194,n_195,r_195,n_197,r_197,n_199,r_199,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,is_null,is_broken
26955,20180814,MB1,100,0,98,7872,99,13,98,134,100,6437,100,0,100,0,100,0,100,0,100,0,75,25,75,25,200,0,100,0,100,0,99,341224000000.0,99,155150000000.0,100,0,100,65535,0,1
26955,20180813,MB1,100,0,98,7848,99,13,98,134,100,6437,100,0,100,0,100,0,100,0,100,0,75,25,75,25,200,0,100,0,100,0,99,340410000000.0,99,154386000000.0,100,0,100,65535,0,1
26955,20180812,MB1,100,0,98,7824,99,13,98,133,100,6437,100,0,100,0,100,0,100,0,100,0,75,25,75,25,200,0,100,0,100,0,99,339580000000.0,99,153719000000.0,100,0,100,65535,0,1
26955,20180811,MB1,100,0,98,7800,99,13,98,133,100,6437,100,0,100,0,100,0,100,0,100,0,74,26,74,26,200,0,100,0,100,0,99,338839000000.0,99,153076000000.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
22409,20191020,MB1,99,2,96,18244,99,13,95,339,99,6459,100,0,100,0,99,2,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,657199000000.0,99,386938000000.0,100,0,100,65535,0,1
22409,20191019,MB1,100,0,96,18220,99,13,95,339,100,6461,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,656826000000.0,99,386515000000.0,100,0,100,65535,0,1
22409,20191018,MB1,100,0,96,18196,99,13,95,338,100,6461,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,656404000000.0,99,386088000000.0,100,0,100,65535,0,1
22409,20191017,MB1,100,0,96,18172,99,13,95,338,100,6461,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,655989000000.0,99,385663000000.0,100,0,100,65535,0,1
22409,20191016,MB1,100,0,96,18147,99,13,95,338,100,6461,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,655593000000.0,99,385231000000.0,100,0,100,65535,0,1
22409,20191015,MB1,100,0,96,18123,99,13,95,337,100,6461,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,655151000000.0,99,384813000000.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
31923,20191207,MB1,100,0,96,19394,99,14,91,620,100,6514,100,0,100,0,100,0,100,0,100,0,73,27,73,27,200,0,100,0,100,0,99,1707250000000.0,99,386868000000.0,100,0,100,65535,0,1
31923,20191206,MB1,100,0,96,19370,99,14,91,620,100,6514,100,0,100,0,100,0,100,0,100,0,73,27,73,27,200,0,100,0,100,0,99,1706730000000.0,99,386460000000.0,100,0,100,65535,0,1
31923,20191205,MB1,100,0,96,19346,99,14,91,620,100,6514,100,0,100,0,100,0,100,0,100,0,72,28,72,28,200,0,100,0,100,0,99,1706280000000.0,99,386006000000.0,100,0,100,65535,0,1
31923,20191204,MB1,100,0,96,19322,99,14,91,619,100,6514,100,0,100,0,100,0,100,0,100,0,73,27,73,27,200,0,100,0,100,0,99,1705920000000.0,99,385598000000.0,100,0,100,65535,0,1
13295,20180524,MB1,99,6,98,5904,99,14,98,119,99,6527,100,0,100,0,99,6,100,0,100,0,73,27,73,27,200,0,100,0,100,0,99,358772000000.0,99,90734754867.0,100,0,100,65535,0,1
13295,20180523,MB1,99,6,98,5880,99,14,98,119,99,6527,100,0,100,0,99,6,100,0,100,0,73,27,73,27,200,0,100,0,100,0,99,357504000000.0,99,90197958680.0,100,0,100,65535,0,1
13295,20180522,MB1,99,6,98,5856,99,14,98,118,99,6527,100,0,100,0,99,6,100,0,100,0,73,27,73,27,200,0,100,0,100,0,99,356261000000.0,99,89629234225.0,100,0,100,65535,0,1
13295,20180521,MB1,99,6,98,5832,99,14,98,118,99,6527,100,0,100,0,99,6,100,0,100,0,73,27,73,27,200,0,100,0,100,0,99,355005000000.0,99,89102084300.0,100,0,100,65535,0,1
13295,20180520,MB1,99,6,98,5808,99,14,98,117,99,6527,100,0,100,0,99,6,100,0,100,0,73,27,73,27,200,0,100,0,100,0,99,353773000000.0,99,88531897019.0,100,0,100,65535,0,1
13295,20180519,MB1,99,6,98,5784,99,14,98,117,99,6527,100,0,100,0,99,6,100,0,100,0,73,27,73,27,200,0,100,0,100,0,99,352587000000.0,99,88053702595.0,100,0,100,65535,0,1
13295,20180518,MB1,99,6,98,5760,99,14,98,116,99,6527,100,0,100,0,99,6,100,0,100,0,73,27,73,27,200,0,100,0,100,0,99,351405000000.0,99,87581306721.0,100,0,100,65535,0,1
4386,20191217,MB1,99,2,96,19633,99,15,95,368,99,6572,100,0,100,0,99,2,100,0,100,0,72,28,72,28,200,0,100,0,100,0,99,717598000000.0,99,425094000000.0,100,0,100,65535,0,1
4386,20191216,MB1,99,2,96,19609,99,15,95,368,99,6572,100,0,100,0,99,2,100,0,100,0,72,28,72,28,200,0,100,0,100,0,99,717531000000.0,99,425000000000.0,100,0,100,65535,0,1
4386,20191215,MB1,100,0,96,19585,99,15,95,368,100,6574,100,0,100,0,100,0,100,0,100,0,72,28,72,28,200,0,100,0,100,0,99,717149000000.0,99,424613000000.0,100,0,100,65535,0,1
4386,20191214,MB1,100,0,96,19561,99,15,95,367,100,6574,100,0,100,0,100,0,100,0,100,0,72,28,72,28,200,0,100,0,100,0,99,716720000000.0,99,424234000000.0,100,0,100,65535,0,1
4386,20191213,MB1,100,0,96,19537,99,15,95,367,100,6574,100,0,100,0,100,0,100,0,100,0,72,28,72,28,200,0,100,0,100,0,99,716299000000.0,99,423852000000.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
41077,20190721,MB1,100,0,97,15117,99,13,97,179,100,6553,100,0,100,0,100,0,99,1,100,0,71,29,71,29,200,0,100,0,100,0,99,542617000000.0,99,416028000000.0,100,0,100,65535,0,1
41077,20190720,MB1,100,0,97,15093,99,13,97,179,100,6553,100,0,100,0,100,0,99,1,100,0,71,29,71,29,200,0,100,0,100,0,99,542617000000.0,99,416028000000.0,100,0,100,65535,0,1
41077,20190719,MB1,100,0,97,15069,99,13,97,178,100,6553,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,540948000000.0,99,414983000000.0,100,0,100,65535,0,1
41077,20190718,MB1,100,0,97,15045,99,13,97,177,100,6553,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,539197000000.0,99,413901000000.0,100,0,100,65535,0,1
41077,20190717,MB1,100,0,97,15021,99,13,97,176,100,6553,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,537417000000.0,99,412708000000.0,100,0,100,65535,0,1
41077,20190716,MB1,100,0,97,14997,99,13,97,175,100,6553,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,534991000000.0,99,410766000000.0,100,0,100,65535,0,1
41077,20190715,MB1,100,0,97,14973,99,13,97,173,100,6553,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,530803000000.0,99,407234000000.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
41080,20180808,MB1,100,0,98,6790,99,14,99,54,100,6490,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,202921000000.0,99,94117209790.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
41080,20180806,MB1,100,0,98,6742,99,14,99,54,100,6490,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,201085000000.0,99,93313096485.0,100,0,100,65535,0,1
41080,20180805,MB1,100,0,98,6718,99,14,99,53,100,6490,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,200200000000.0,99,92941503234.0,100,0,100,65535,0,1
41080,20180804,MB1,100,0,98,6694,99,14,99,53,100,6490,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,199380000000.0,99,92597635815.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
21070,20180909,MB1,100,0,98,7557,99,15,99,13,100,6488,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,19018350597.0,99,12504696749.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
21058,20190629,MB1,99,4,97,14548,99,28,98,136,99,6375,100,0,100,0,99,4,100,0,99,1,73,27,73,27,199,1,100,0,99,2,99,453424000000.0,99,259732000000.0,100,0,100,65535,0,1
21058,20190628,MB1,100,0,97,14524,99,28,98,135,100,6379,100,0,100,0,100,0,100,0,100,0,72,28,72,28,200,0,100,0,99,2,99,450334000000.0,99,256925000000.0,100,0,100,65535,0,1
21058,20190627,MB1,100,0,97,14500,99,28,98,133,100,6379,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,99,2,99,445460000000.0,99,252641000000.0,100,0,100,65535,0,1
21058,20190626,MB1,100,0,97,14476,99,28,98,131,100,6379,100,0,100,0,100,0,100,0,100,0,72,28,72,28,200,0,100,0,99,2,99,440516000000.0,99,248146000000.0,100,0,100,65535,0,1
21058,20190625,MB1,100,0,97,14452,99,28,98,130,100,6379,100,0,100,0,100,0,100,0,100,0,72,28,72,28,200,0,100,0,99,2,99,436060000000.0,99,244241000000.0,100,0,100,65535,0,1
21058,20190624,MB1,100,0,97,14428,99,28,98,128,100,6379,100,0,100,0,100,0,100,0,100,0,72,28,72,28,200,0,100,0,99,2,99,430916000000.0,99,239741000000.0,100,0,100,65535,0,1
21058,20190623,MB1,100,0,97,14402,99,28,98,125,100,6379,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,99,2,99,425316000000.0,99,234826000000.0,100,0,100,65535,0,1
27867,20190701,MB1,100,0,97,14641,99,13,97,149,100,6397,100,0,100,0,100,0,99,1,100,0,70,30,70,30,200,0,100,0,100,0,99,466814000000.0,99,340691000000.0,100,0,100,65535,0,1
27867,20190630,MB1,100,0,97,14617,99,13,98,148,100,6397,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,464213000000.0,99,338132000000.0,100,0,100,65535,0,1
27867,20190629,MB1,100,0,97,14593,99,13,98,147,100,6397,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,460760000000.0,99,334663000000.0,100,0,100,65535,0,1
27867,20190628,MB1,100,0,97,14569,99,13,98,145,100,6397,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,457190000000.0,99,331114000000.0,100,0,100,65535,0,1
27867,20190627,MB1,100,0,97,14545,99,13,98,144,100,6397,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,453546000000.0,99,327538000000.0,100,0,100,65535,0,1
27867,20190626,MB1,100,0,97,14521,99,13,98,142,100,6397,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,449793000000.0,99,323788000000.0,100,0,100,65535,0,1
27867,20190625,MB1,100,0,97,14497,99,13,98,141,100,6397,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,446596000000.0,99,320475000000.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
38307,20180409,MB1,100,0,99,3888,99,14,99,23,100,6464,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,85571110097.0,99,44641622426.0,100,0,100,65535,0,1
38307,20180408,MB1,100,0,99,3864,99,14,99,23,100,6464,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,85139459955.0,99,44438055897.0,100,0,100,65535,0,1
38307,20180407,MB1,100,0,99,3840,99,14,99,23,100,6464,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,84744171517.0,99,44241024969.0,100,0,100,65535,0,1
38307,20180406,MB1,100,0,99,3816,99,14,99,23,100,6464,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,84366421272.0,99,44059848213.0,100,0,100,65535,0,1
